Team,PA,AB,Hits,2B,3B,HR,BB,SO,BA,OBP,SLG,xSLG
Oakland Athletics,"5,966","5,311","1,187",225,21,171,498,"1,496",.223,.298,.370,.293
New York Yankees,"5,973","5,323","1,207",221,15,219,557,"1,427",.227,.304,.397,.304
Chicago White Sox,"5,980","5,501","1,308",264,13,171,377,"1,424",.238,.291,.384,.292
Kansas City Royals,"5,985","5,428","1,325",258,43,163,411,"1,396",.244,.303,.398,.303
Miami Marlins,"6,043","5,497","1,423",258,23,166,430,"1,287",.259,.316,.405,.312
Colorado Rockies,"6,055","5,496","1,368",305,31,163,447,"1,543",.249,.310,.405,.310
New York Mets,"6,056","5,363","1,276",221,21,215,525,"1,331",.238,.316,.407,.315
Detroit Tigers,"6,080","5,478","1,292",245,29,165,508,"1,473",.236,.305,.382,.300
Milwaukee Brewers,"6,084","5,386","1,290",257,16,165,591,"1,412",.240,.319,.385,.309
Washington Nationals,"6,085","5,522","1,401",279,26,151,423,"1,149",.254,.314,.396,.309
Pittsburgh Pirates,"6,089","5,406","1,293",287,31,159,556,"1,464",.239,.315,.392,.308
San Francisco Giants,"6,095","5,412","1,271",256,13,174,544,"1,492",.235,.312,.383,.304
Cleveland Guardians,"6,096","5,513","1,379",294,29,124,471,"1,142",.250,.313,.381,.302
Baltimore Orioles,"6,123","5,495","1,399",309,28,183,512,"1,370",.255,.321,.421,.320
Arizona Diamondbacks,"6,124","5,436","1,359",274,44,166,540,"1,247",.250,.322,.408,.317
Los Angeles Angels,"6,145","5,489","1,346",248,26,231,518,"1,524",.245,.317,.426,.320
Tampa Bay Rays,"6,164","5,511","1,432",282,24,230,514,"1,420",.260,.331,.445,.335
Boston Red Sox,"6,174","5,562","1,437",339,19,182,486,"1,372",.258,.324,.424,.324
San Diego Padres,"6,180","5,401","1,316",273,14,205,653,"1,311",.244,.329,.413,.323
Cincinnati Reds,"6,195","5,499","1,371",268,37,198,556,"1,500",.249,.327,.420,.325
Seattle Mariners,"6,201","5,500","1,332",283,12,210,548,"1,603",.242,.321,.413,.319
St. Louis Cardinals,"6,204","5,510","1,376",264,12,209,570,"1,326",.250,.326,.416,.322
Philadelphia Phillies,"6,207","5,541","1,417",291,29,220,539,"1,481",.256,.327,.438,.329
Minnesota Twins,"6,219","5,489","1,336",264,24,233,594,"1,654",.243,.326,.428,.327
Chicago Cubs,"6,220","5,504","1,399",269,30,196,570,"1,391",.254,.330,.421,.326
Toronto Blue Jays,"6,220","5,562","1,423",292,19,188,550,"1,303",.256,.329,.417,.324
Atlanta Braves,"6,249","5,597","1,543",293,23,307,538,"1,289",.276,.344,.501,.359
Houston Astros,"6,253","5,567","1,441",280,22,222,550,"1,241",.259,.331,.437,.332
Texas Rangers,"6,306","5,595","1,470",326,18,233,599,"1,416",.263,.337,.452,.340
Los Angeles Dodgers,"6,333","5,524","1,422",303,20,249,644,"1,359",.257,.340,.455,.341
